ID,zgrism,e_zgrism,E_zgrism,logMgrism,e_logMgrism,E_logMgrism,logsSFR,e_logsSFR,E_logsSFR,Avmag,e_Avmag,E_Avmag,logS1,e_logS1,E_logS1,tQ,e_tQ,E_tQ,z50,e_z50,E_z50,field,gid,fitting_region_160,fitting_region_125,fitting_region_850,new
GSD-35774,1.2570000000000001,0.002,0.003,11.21,0.03,0.01,-12.0,0.3,0.4,0.02,0.01,0.03,10.12,0.03,0.03,1.4,0.4,0.3,3.6,0.4,0.4,GSD,35774,masked,masked,masked,no
GND-37686,1.2590000000000001,0.003,0.001,11.11,0.03,0.03,-12.2,0.2,0.7,0.03,0.01,0.09,10.23,0.03,0.03,0.5,1.0,0.3,3.5,0.7,0.2,GND,37686,masked,masked,xlarge,no
GSD-40862,1.3330000000000002,0.004,0.005,11.11,0.02,0.02,-10.9,0.3,0.1,0.45,0.41,0.5,9.9,0.05,0.05,1.5,0.2,0.1,3.2,0.2,0.2,GSD,40862,masked,medium,masked,no
GSD-46066,1.3330000000000002,0.003,0.003,11.1,0.02,0.02,-12.5,0.3,0.1,0.0,0.0,0.01,10.2,0.03,0.03,0.3,0.2,0.2,6.5,1.0,0.5,GSD,46066,masked,medium,medium,no
GSD-39804,1.339,0.002,0.004,11.09,0.02,0.02,-11.5,0.1,0.3,0.34,0.23,0.37,10.35,0.04,0.04,1.0,0.4,0.2,3.0,0.3,0.2,GSD,39804,masked,masked,medium,no
GSD-45775,1.3519999999999999,0.006999999999999999,0.005,11.28,0.02,0.03,-11.3,0.1,0.1,0.08,0.05,0.13,9.74,0.04,0.04,1.4,0.4,0.2,5.8,1.2,0.5,GSD,45775,masked,masked,masked,no
GND-36530,1.3619999999999999,0.002,0.003,11.02,0.01,0.01,-11.3,0.1,0.5,0.0,0.0,0.01,10.03,0.03,0.03,0.7,0.2,0.1,3.3,0.3,0.1,GND,36530,masked,masked,masked,no
GSD-40623,1.4140000000000001,0.003,0.005,11.04,0.01,0.02,-12.1,0.4,0.1,0.05,0.01,0.08,10.0,0.03,0.03,0.3,0.4,0.3,9.3,1.8,1.2,GSD,40623,masked,small,small,no
GND-24345,1.415,0.013999999999999999,0.012,10.57,0.04,0.01,-11.6,0.2,0.5,0.0,0.0,0.04,9.92,0.03,0.03,0.9,0.2,0.2,4.9,0.6,0.6,GND,24345,masked,masked,masked,no
GND-16574,1.456,0.005,0.005,10.58,0.04,0.03,-11.7,0.5,0.2,0.18,0.05,0.34,9.89,0.04,0.04,1.0,0.3,0.3,3.1,0.3,0.3,GND,16574,masked,masked,masked,no
GND-21427,1.472,0.009000000000000001,0.01,10.92,0.02,0.02,-11.4,0.3,0.4,0.31,0.24,0.42,10.06,0.03,0.03,1.1,0.4,0.1,2.7,0.4,0.1,GND,21427,masked,masked,masked,no
GSD-40223,1.599,0.002,0.004,10.87,0.02,0.05,-11.3,0.3,0.3,0.41,0.32,0.46,10.06,0.05,0.05,1.2,0.6,0.2,4.4,1.0,0.5,GSD,40223,masked,medium,masked,no
GSD-39649,1.6030000000000002,0.001,0.002,10.75,0.03,0.02,-12.1,0.5,0.5,0.29,0.21,0.39,10.04,0.03,0.03,1.3,0.4,0.2,3.2,0.4,0.3,GSD,39649,masked,masked,masked,no
GSD-42487,1.605,0.001,0.001,10.94,0.02,0.03,-11.6,0.2,0.4,0.42,0.31,0.49,10.25,0.03,0.03,1.1,0.3,0.2,3.1,0.4,0.2,GSD,42487,masked,masked,masked,no
GSD-38843,1.611,0.006,0.006,10.54,0.04,0.04,-12.1,0.5,0.5,0.31,0.19,0.4,9.69,0.05,0.05,1.4,0.5,0.3,4.3,1.0,0.8,GSD,38843,masked,medium,masked,no
GSD-39012,1.6119999999999999,0.005,0.006,11.15,0.02,0.02,-11.7,0.1,0.4,0.49,0.44,0.56,10.2,0.03,0.03,0.3,0.8,0.3,7.4,1.4,1.2,GSD,39012,masked,masked,masked,no
GSD-41520,1.614,0.004,0.001,11.08,0.03,0.02,-11.6,0.2,0.4,0.24,0.17,0.3,10.29,0.04,0.04,1.1,0.3,0.4,4.1,0.3,0.8,GSD,41520,masked,masked,masked,no
GSD-44042,1.6159999999999999,0.003,0.003,11.22,0.04,0.03,-11.1,0.1,0.2,0.63,0.57,0.7,10.24,0.04,0.04,0.8,0.3,0.2,3.3,0.4,0.3,GSD,44042,masked,masked,masked,no
GND-33775,1.652,0.006,0.005,10.59,0.04,0.05,-11.3,0.4,0.6,0.25,0.19,0.32,9.92,0.04,0.04,1.0,1.0,0.2,4.0,1.1,0.5,GND,33775,masked,masked,masked,no
GSD-42615,1.755,0.004,0.004,11.03,0.04,0.03,-12.3,0.5,0.4,0.0,0.0,0.31,10.26,0.04,0.04,1.0,0.4,0.4,6.3,1.6,2.0,GSD,42615,masked,masked,masked,no
GSD-41148,1.7630000000000001,0.003,0.002,11.22,0.03,0.04,-11.8,0.4,0.3,0.33,0.26,0.41,10.21,0.04,0.04,0.9,0.4,0.3,4.1,0.6,0.6,GSD,41148,masked,large,masked,no
GND-33780,1.876,0.016,0.016,11.37,0.03,0.03,-11.6,0.6,0.6,0.0,0.0,0.05,10.19,0.04,0.04,0.7,0.8,0.2,4.0,1.1,0.2,GND,33780,masked,masked,masked,yes
